iter	Passed	Remaining
0	109	109803
1	124	62271
2	140	46669
3	156	38945
4	172	34247
5	188	31158
6	204	29005
7	230	28578
8	251	27740
9	270	26778
10	288	25897
11	305	25122
12	322	24511
13	342	24153
14	361	23706
15	378	23273
16	394	22839
17	411	22470
18	429	22158
19	445	21840
20	463	21628
21	481	21393
22	500	21254
23	518	21076
24	535	20892
25	556	20845
26	575	20737
27	592	20581
28	610	20442
29	627	20302
30	648	20255
31	666	20167
32	686	20126
33	706	20062
34	723	19961
35	741	19851
36	759	19760
37	777	19683
38	795	19595
39	812	19511
40	830	19426
41	847	19339
42	866	19286
43	884	19206
44	901	19124
45	919	19072
46	936	18998
47	955	18955
48	974	18913
49	992	18865
50	1010	18810
51	1028	18751
52	1045	18687
53	1063	18634
54	1080	18569
55	1098	18510
56	1116	18463
57	1133	18411
58	1150	18346
59	1166	18280
60	1183	18217
61	1199	18152
62	1216	18092
63	1232	18031
64	1249	17969
65	1265	17910
66	1282	17852
67	1298	17795
68	1315	17747
69	1332	17696
70	1347	17635
71	1364	17583
72	1380	17526
73	1396	17478
74	1413	17430
75	1429	17381
76	1445	17332
77	1462	17286
78	1478	17239
79	1495	17197
80	1512	17154
81	1528	17110
82	1544	17063
83	1561	17023
84	1581	17024
85	1600	17010
86	1618	16982
87	1634	16943
88	1651	16909
89	1667	16862
90	1684	16823
91	1700	16785
92	1717	16745
93	1733	16709
94	1750	16674
95	1766	16633
96	1782	16598
97	1799	16562
98	1816	16527
99	1832	16489
100	1848	16453
101	1864	16418
102	1881	16384
103	1897	16350
104	1914	16318
105	1930	16285
106	1947	16250
107	1963	16214
108	1979	16184
109	1996	16151
110	2012	16120
111	2029	16089
112	2046	16062
113	2062	16029
114	2078	15997
115	2094	15965
116	2111	15936
117	2127	15904
118	2144	15873
119	2160	15841
120	2177	15814
121	2194	15793
122	2210	15760
123	2226	15725
124	2242	15695
125	2258	15667
126	2274	15636
127	2291	15611
128	2308	15584
129	2324	15555
130	2341	15529
131	2357	15500
132	2373	15473
133	2390	15446
134	2406	15418
135	2422	15392
136	2439	15366
137	2456	15341
138	2476	15338
139	2492	15309
140	2508	15282
141	2524	15254
142	2541	15228
143	2561	15228
144	2583	15231
145	2604	15233
146	2633	15282
147	2654	15278
148	2684	15332
149	2706	15336
150	2726	15328
151	2746	15320
152	2765	15311
153	2785	15301
154	2806	15299
155	2826	15289
156	2847	15290
157	2867	15281
158	2887	15272
159	2907	15265
160	2930	15268
161	2951	15266
162	2969	15247
163	2987	15229
164	3008	15222
165	3028	15213
166	3048	15204
167	3065	15179
168	3080	15149
169	3096	15118
170	3113	15093
171	3129	15066
172	3145	15037
173	3162	15015
174	3179	14988
175	3195	14960
176	3211	14932
177	3227	14904
178	3243	14876
179	3260	14851
180	3277	14829
181	3294	14807
182	3312	14787
183	3331	14774
184	3348	14752
185	3365	14729
186	3382	14706
187	3400	14686
188	3417	14666
189	3436	14649
190	3454	14633
191	3471	14608
192	3487	14582
193	3504	14559
194	3521	14536
195	3538	14513
196	3554	14487
197	3583	14516
198	3605	14511
199	3622	14488
200	3640	14472
201	3662	14468
202	3679	14444
203	3695	14421
204	3710	14390
205	3727	14368
206	3745	14347
207	3760	14316
208	3775	14288
209	3791	14262
210	3807	14236
211	3822	14209
212	3838	14183
213	3854	14157
214	3869	14127
215	3884	14100
216	3899	14070
217	3915	14045
218	3933	14028
219	3949	14003
220	3968	13988
221	3986	13969
222	4004	13951
223	4022	13935
224	4043	13926
225	4062	13914
226	4079	13891
227	4095	13868
228	4114	13851
229	4132	13833
230	4150	13818
231	4171	13808
232	4189	13790
233	4206	13769
234	4223	13748
235	4242	13734
236	4260	13717
237	4278	13697
238	4294	13674
239	4310	13649
240	4326	13624
241	4342	13600
242	4358	13577
